id,ticker,event_date,original,true_label,future_return_1d,abnormal_score,senti_label,emo_label,technical_analysis_baseline_prediction,technical_analysis_baseline_confidence,classical_price_only_prediction,classical_price_only_confidence,classical_text_only_prediction,classical_text_only_confidence,classical_text_price_prediction,classical_text_price_confidence,deep_text_only_prediction,deep_text_only_confidence,deep_text_price_prediction,deep_text_price_confidence
109001,DIS,2020-01-02,$DIS when is the shorts squeeze is what I wanna know 🚂🚂🚂🚂🚂 💰,negative,-0.0114710698516059,-1.4439080481517892,bullish,optimism,neutral,1.0,negative,0.4729271012360305,positive,0.4273092478007067,positive,0.4730766071849455,negative,0.3394449,positive,0.4556674
109002,AAPL,2020-01-03,"$AAPL I’m out for now!! I don’t think it’ll dip big, but if it does it’ll be nice🍎💰✨",positive,0.0079683502704135,0.8558231322277605,bullish,excitement,positive,1.0,positive,0.424826989956709,negative,0.3467858017349549,positive,0.4693715347410129,neutral,0.33903217,positive,0.3560268
109003,PYPL,2020-01-07,$PYPL Back Over $120+ where this belongs 💰,positive,0.0196043250402788,1.7182368401200914,bullish,optimism,neutral,1.0,positive,0.3803931236508905,neutral,0.4427329860847764,positive,0.3693565923223904,negative,0.33996645,neutral,0.41590518
100067,AAPL,2020-01-08,$AAPL with all time highs again the market seems to enjoy war very much🤔,positive,0.0212407945881722,2.2022380491390514,bearish,confusion,positive,1.0,positive,0.4032883971740215,positive,0.3643292162996495,positive,0.4917757334895435,neutral,0.33690768,positive,0.39534193
109005,BA,2020-01-08,"$BA Of course there were technical problems behind this crash, just like the other two! How many more planes have to crash before this company gets banned for good? 😠",positive,0.0149983648489777,0.963943164547701,bearish,anger,neutral,1.0,negative,0.4652000264728512,neutral,0.5029797937403033,positive,0.4061766527559333,positive,0.37649864,neutral,0.41689393
109004,TSLA,2020-01-08,$TSLA I think we ready for that $510 ride Tesla. Yes we are ready. We got our seatbelts on 😂😂🔥🔥 🚀 🚀 🚀 🚀,negative,-0.0219450119000973,-1.040443054233185,bullish,belief,positive,1.0,positive,0.457771449305225,neutral,0.4617530765197506,positive,0.5241599976902892,positive,0.34821546,negative,0.5270257
109007,DIS,2020-01-09,$DIS  Can anyone here name me a potential 1B or more movie that they have on their slate  for release this year?!? 🤔,neutral,-0.0014500117574394,-0.1525129952478261,bearish,confusion,neutral,1.0,negative,0.4190756235247867,positive,0.4052379923008257,positive,0.496757776749932,positive,0.34194705,neutral,0.35113934
109006,TSLA,2020-01-09,$TSLA the market is giving away money rn and bears refuse it. They prefer the path of greatest resistance. 🤷🏽‍♂️,neutral,-0.0066272976331741,-0.298357792903552,bullish,disgust,positive,1.0,positive,0.4409482798432218,neutral,0.5691388615420324,positive,0.6047287591565337,positive,0.35899445,positive,0.5647064
109011,AAPL,2020-01-10,"$AAPL Gene Munster Once a Top Professional Analyst, now a Venture Capitalist. Must be doing something right 😉 👍",positive,0.0213641783764906,2.261248190910735,bullish,anxiety,positive,1.0,positive,0.4475060921490408,negative,0.4350158706674269,negative,0.4057738344455935,positive,0.3470162,positive,0.36655
109009,AMZN,2020-01-10,$AMZN I want to buy CALLS for next week but this Iran issued are not over ...🤠🍺😱,neutral,0.0043225782456992,0.3321974209126941,bullish,anxiety,neutral,1.0,positive,0.3809767615867593,positive,0.4485815458709044,positive,0.5125260361212636,positive,0.34952193,positive,0.4106573
