id,ticker,event_date,true_label,predicted_label,confidence,future_return_1d,abnormal_score,senti_label,emo_label,likely_root_cause,original
109262,CCL,2020-04-02,neutral,neutral,0.999466,0.0652445992141321,0.3856436323555025,bearish,disgust,large move likely reflects market/news context not present in the post,$CCL only fools will buy worthless equity that pays no dividends when it's junk bond pays a coupon of 11.5% 😂😂
109232,BA,2020-03-25,positive,positive,0.9985935,0.1374661873088745,1.2437233605398736,bullish,excitement,large move likely reflects market/news context not present in the post,"$BA very good profit today 👍
I’m ready for tomorrow!
Let’s break the $200"
109231,BA,2020-03-25,positive,positive,0.99851924,0.1374661873088745,1.2437233605398736,bullish,ambiguous,large move likely reflects market/news context not present in the post,"$BA Make money on the wave, I’ve become a day trader sell high buy low you can’t lose 💰💰💰 tomorrow should be another great day for it 💪👍"
109223,BA,2020-03-25,positive,positive,0.99804425,0.1374661873088745,1.2437233605398736,bullish,depression,large move likely reflects market/news context not present in the post,$BA i sold off my 130 call before close had 5 contracts😅
109229,BA,2020-03-25,positive,positive,0.99746406,0.1374661873088745,1.2437233605398736,bullish,anxiety,large move likely reflects market/news context not present in the post,"$BA Why did I believe that story that Boeing was going to be a $5 stock after the government took a stake in the company when it was $90 a share last week
________________ #LineUp 😷🔫"
109630,TSLA,2020-09-01,negative,negative,0.99721295,-0.0582675652408364,-1.174228642940791,bullish,optimism,historical sentiment label conflicts with realized next-day move,"$TSLA From the SP movement both before and after split, I really think there is a big announcement in works. Hopefully SpaceX merger 🤞"
109633,TSLA,2020-09-01,negative,negative,0.9967687,-0.0582675652408364,-1.174228642940791,bullish,amusement,historical sentiment label conflicts with realized next-day move,$TSLA Sounds like they need help getting shares for the s and p!!!  🤑
109635,TSLA,2020-09-01,negative,negative,0.99648905,-0.0582675652408364,-1.174228642940791,bullish,disgust,historical sentiment label conflicts with realized next-day move,$TSLA LISTEN TO THOSE BEARS THEY HAVE BEEN RIGHT 2k points ago 🤣🤣🤣
109641,TSLA,2020-09-01,negative,negative,0.99642247,-0.0582675652408364,-1.174228642940791,bullish,excitement,historical sentiment label conflicts with realized next-day move,$TSLA made a tiny little profit shorting for a few minutes. I know better than to bet against TSLA for too long. Bought some $600 calls for this Friday 😁😆😆
109636,TSLA,2020-09-01,negative,negative,0.9963981,-0.0582675652408364,-1.174228642940791,bullish,anxiety,historical sentiment label conflicts with realized next-day move,$TSLA last call to get on the train 🚂
109631,TSLA,2020-09-01,negative,negative,0.996384,-0.0582675652408364,-1.174228642940791,bullish,disgust,historical sentiment label conflicts with realized next-day move,"$TSLA bears waiting for this to go to 300, you will wait forever! 🤡"
109632,TSLA,2020-09-01,negative,negative,0.9963814,-0.0582675652408364,-1.174228642940791,bullish,excitement,historical sentiment label conflicts with realized next-day move,$TSLA keep watching bears - YOU CANNOT WIN ON THIS BAD BOY 😂😂😂😂😂😂😂😂😂😂😂😂😂
